BodyID,X,Y,Z,VX,VY,VZ
0,-0.0175439,0.323483,0.159476,-3.73738,-0.550237,4.07785
1,8.09112,-8.27882,-8.63939,6.38138,-5.8894,-6.83647
2,-0.0786739,0.0921184,-0.46606,-1.4145,-1.30856,-8.63554
3,0.678497,-0.0743169,-0.702083,4.51877,-4.03856,-5.85765
4,-0.173401,0.0232273,0.77744,-2.03055,-0.112271,-13.5021
5,7.52152,-8.30606,-8.4815,7.22411,-8.50497,-6.18629
6,-8.86303,10.0004,-4.23831,-6.78162,7.80555,-3.87507
7,6.96857,-6.84072,-6.97847,5.76822,-4.73849,-4.43975
8,0.0994809,1.34738,0.682031,3.09091,-4.08838,-4.79208
9,0.136218,0.220919,-0.060895,1.53406,-4.43181,8.1605
10,-0.21898,0.114214,0.61932,7.34873,8.17589,-6.77151
11,0.168594,0.161604,0.355963,0.529882,9.4504,-10.9257
12,0.12757,0.252051,0.037906,3.57082,7.17907,-0.78325
13,0.00237743,0.287424,0.0439627,-15.2878,-6.41413,5.5976
14,0.157938,0.171046,-0.175402,-3.14116,11.883,-7.37139
15,0.243086,0.473871,-0.230754,0.887755,-5.68148,-2.48415
16,-0.0384024,0.172739,-0.460654,3.64164,1.36555,8.31516
17,0.0748283,0.0835571,0.61871,-12.111,-14.52,16.1813
18,0.0180808,0.359276,0.11605,-21.2696,-3.49077,13.8626
19,-0.0443763,0.350619,0.374509,-8.29825,-1.76497,12.2758
20,0.0837865,0.265309,-0.0215383,-3.94382,8.68855,0.0204944
21,0.15006,0.0849322,0.393567,10.5939,-5.07787,16.8552
22,1.17526,1.30788,-0.940292,-6.3933,-2.0933,8.06127
23,0.0208596,0.330418,0.272573,-7.722,-0.968018,-4.38046
24,0.0945728,0.190208,0.436119,5.93062,-2.74487,-7.46002
25,0.209097,0.167201,-0.0230881,-7.29835,9.21268,16.9522
26,0.263146,0.266491,0.592842,4.39524,-0.526245,9.51167
27,0.183007,0.242791,0.527737,-2.88818,-1.22073,1.97715
28,0.0837428,0.25921,0.379136,0.352458,0.829026,-5.5844
29,0.152317,0.326993,-0.0710094,12.3016,-1.98642,3.08941
30,0.0823524,0.339576,-0.08804,5.8309,-6.13137,-13.2139
31,0.0432003,0.271975,0.452208,3.22307,-0.172598,-1.41445
32,1.06754,1.43676,1.28619,-10.3838,-11.8403,-10.5489
33,-0.0300457,-0.131614,-0.445762,8.19052,4.35973,-1.68754
34,-5.06062,-5.80245,-6.79088,-2.69906,-3.87524,-5.70228
35,0.137077,0.382913,0.290189,-2.18753,4.72289,-6.51923
36,0.162141,0.339371,0.634116,4.23818,-8.65769,-7.10445
37,0.00254286,-0.0949054,-0.35633,-6.89824,1.78216,-6.49158
38,-0.0986573,-0.512257,0.0050567,-2.47313,8.60973,5.80945
39,0.236972,0.330939,0.0587806,2.53001,6.47677,-3.08946
40,0.104031,-0.0921146,0.782084,-1.90091,-0.494553,-14.429
41,0.0957162,0.189353,0.0948061,-6.07432,-1.18124,3.6554
