BodyID,X,Y,Z,VX,VY,VZ
0,0.255295,0.248366,0.263627,-12.6869,8.991,-2.01439
1,8.91915,-9.22654,-10.3389,6.91518,-7.95147,-9.30731
2,-0.0905429,0.510922,0.695577,0.88498,-9.05041,-11.5929
3,1.02964,0.0971404,-0.685792,6.04075,0.971372,-6.82759
4,-0.109717,-0.265726,0.0866463,7.21548,19.6418,4.43006
5,8.58613,-9.57791,-10.2948,8.76646,-10.3073,-9.01495
6,-8.094,9.64115,-3.27249,-4.98052,6.44939,-2.59789
7,7.69296,-7.8443,-8.32832,6.3224,-5.62939,-5.88153
8,-0.0194073,1.66898,0.731227,3.66964,7.76502,-2.05489
9,0.179102,0.350256,0.382245,-2.64564,7.20824,-0.794508
10,-0.159097,0.365417,0.70602,-14.0005,-8.97044,2.12539
11,0.191753,0.365684,-0.264962,5.76076,-7.27921,-2.33365
12,0.191772,0.330989,0.227703,-0.547735,-3.84284,5.99065
13,0.0186635,0.36393,0.154893,-13.2741,-10.034,-13.283
14,0.167007,0.414923,-0.0837572,4.79097,-0.968552,10.5156
15,0.0298169,-0.0981239,-0.0187652,-2.45586,8.3728,6.93723
16,0.182412,0.419956,0.407289,-3.96777,18.3614,27.9911
17,0.568324,0.565765,-0.356889,11.1172,9.56378,-9.52907
18,0.368969,0.232251,0.220282,16.8664,7.56174,-13.1093
19,0.177495,0.278181,0.000461608,-4.2942,2.43305,-20.6629
20,0.149017,0.342928,0.279386,8.55803,-4.4667,7.66445
21,0.246657,0.214734,0.574818,4.85817,7.14856,7.97434
22,-0.731562,-0.779461,1.30718,0.568478,-4.51301,4.5202
23,0.19834,0.211979,-0.0150951,-10.0577,10.0699,3.2484
24,0.165179,0.27488,0.129224,7.23956,-1.63374,-23.4162
25,0.0514625,0.400779,0.416898,6.78801,-7.86682,-7.77607
26,0.1307,0.0560565,-0.187026,4.35369,4.30701,13.0943
27,0.100846,0.210641,-0.0289475,7.37135,-12.201,-20.4301
28,0.0675313,0.454994,0.390027,-1.75295,5.82255,6.07411
29,0.330306,0.326555,-0.0238251,4.22439,3.03069,-8.68653
30,0.00815996,0.0981407,0.25377,-2.34193,2.87358,-11.4609
31,0.194184,0.262948,-0.0831318,0.369756,-1.55964,-2.77357
32,4.26948,4.59962,4.06431,-1.0441,-1.15416,-1.24514
33,-0.169559,0.241707,0.491095,-1.4148,14.6579,-8.73878
34,-4.04552,-5.29261,-6.30866,-0.102528,-1.65856,-3.60008
35,0.111358,0.135109,0.218643,-4.78105,7.474,15.5272
36,0.208707,0.394001,0.437693,1.18466,-2.72268,24.4245
37,0.309338,0.446844,0.68404,5.09118,-2.64215,19.3679
