BodyID,X,Y,Z,VX,VY,VZ
0,-0.0254698,-5.71258e-05,0.0334576,-4.29548,-12.9915,-4.15948
1,10.9722,-12.9348,-14.0002,6.87093,-9.52997,-10.8775
2,0.171591,0.142181,-0.331294,26.5752,8.72213,-22.3407
3,0.0722195,0.141365,0.151812,-15.2701,2.77591,45.7515
4,-0.216009,0.65349,-0.211215,-7.84565,20.8798,-12.6966
5,10.7688,-13.5363,-14.0085,9.68879,-13.7611,-11.4651
6,1.98148,-3.21566,1.35945,-3.28849,3.44281,-0.359782
7,9.2804,-10.8211,-12.0231,7.86135,-8.70539,-10.3675
8,-0.642677,0.618494,0.818157,16.8338,3.21137,-34.3738
9,-0.187067,0.313675,0.123506,9.32776,-1.12507,0.90281
10,-0.275246,-0.0955522,-0.35258,2.58375,-13.8878,6.09285
11,-0.101779,-0.0958761,-0.174199,-11.6738,3.74576,9.51073
12,-0.109522,0.221495,0.0115264,5.97719,5.81042,1.28849
13,-0.19873,0.288096,-0.316149,1.82441,20.5508,4.31578
14,0.00247534,0.239254,-0.0206174,18.9451,14.1158,8.63353
15,-0.141495,0.274082,-0.21204,-5.77606,-32.7332,13.7691
16,-0.0954794,0.201824,0.620804,-5.04132,1.29398,-19.1103
17,-0.314357,-0.111289,-0.579901,-10.0542,-14.917,-2.93674
18,-0.176285,-0.0565818,0.0939816,-10.5273,2.04399,-2.86163
19,-0.140779,0.246375,-0.231068,-4.30147,4.18184,-5.28214
20,0.00753948,0.286655,0.0153245,7.94682,-10.4139,-3.36696
21,0.0934499,0.133756,0.0219555,11.5372,-2.53372,-15.8944
22,-0.173374,-0.238545,-1.05414,9.95456,-7.14208,19.6845
23,-0.270921,0.21818,0.216233,-1.66555,7.80088,25.4178
24,-0.241404,0.233751,0.361674,-7.23186,-3.2757,1.96636
25,-0.279353,0.0784609,0.50246,-6.19873,5.11181,-1.19648
26,0.171677,0.294916,-0.32226,-12.08,11.9169,19.9038
27,-0.215385,0.171831,0.551359,17.4909,-4.81909,0.414172
28,-0.159835,0.195091,0.104342,8.41722,7.73988,-19.6128
29,-0.174187,0.275717,0.162784,-9.95697,19.7308,13.9668
30,-0.0620676,0.335565,-0.0898695,-2.19471,16.9507,10.0929
31,-0.0798347,0.214774,-0.121982,0.0398002,3.48295,10.4569
32,9.69567,9.28787,8.59258,6.09799,5.83883,5.79673
33,-0.210276,0.264625,0.216242,21.6319,12.7848,12.9067
34,-1.80732,0.510506,2.97283,-0.363693,-6.3726,-9.0067
35,-0.181277,0.23416,0.258789,0.672978,10.6134,-10.887
36,-0.194933,0.214406,0.604729,6.00677,10.1348,-18.1012
37,-0.261542,0.533972,0.470288,14.2879,-7.10172,-6.38547
38,0.407491,0.543802,-0.393479,-20.5647,-19.2098,8.48253
39,-0.133877,0.260009,0.0809247,-1.63559,17.8166,-8.71856
40,-0.0355387,0.187185,-0.238376,-4.73225,31.6259,29.8228
41,-0.0721842,0.132365,0.117385,-1.51022,7.24755,5.10314
42,-0.32217,0.239835,0.847212,-3.25063,-7.37249,2.29918
43,-0.0846386,0.183046,-0.264567,5.167,-8.99098,-6.29302
44,0.0475729,0.0264222,-0.670207,-11.7782,-1.6072,16.6182
45,-0.496758,0.378808,0.699097,4.83868,-4.68066,-5.19087
46,-0.118012,0.221271,-0.00897279,3.92905,-2.54125,1.15615
47,-0.0887806,0.183164,-0.0765195,-0.603123,32.2713,-11.8445
48,0.100366,0.218311,0.473349,-0.188595,-3.41246,11.7763
49,-0.0274857,0.831179,-0.0818136,0.91489,22.9246,0.242099
50,-0.72906,1.55127,3.1878,-0.977533,-6.7218,-7.29243
51,-0.131217,0.169579,0.0282022,-1.6532,-3.59252,7.00188
52,-0.0107288,0.115593,-0.0203069,32.9857,-16.3228,8.56542
53,-0.157739,0.0799331,0.105626,2.92572,18.8041,16.2524
54,-0.154668,0.38447,0.266725,-20.0679,-8.06648,-43.0751
55,-0.320781,0.391532,0.146359,-26.1962,-11.4223,38.8149
56,-0.112934,-0.14206,0.0517247,2.64227,29.291,-2.56161
57,0.0525042,0.134772,0.240905,-17.5537,44.1455,-31.1845
58,0.117954,-0.0481826,0.7493,3.22723,-8.93704,-9.71733
