BodyID,X,Y,Z,VX,VY,VZ
0,-0.0963979,-0.18937,0.140232,27.0478,8.79989,-4.91626
1,21.6994,-20.7869,-22.4698,13.8294,-10.2481,-15.5872
2,-0.121655,-0.115053,0.0572743,-47.5482,109.349,34.3991
3,-0.0461842,0.754591,0.203723,9.51789,33.0097,11.3338
4,0.406889,-0.571494,8.01365e-05,17.4292,-13.7067,12.9772
5,21.5893,-21.2293,-21.7147,17.6675,-17.6807,-14.9323
6,2.34726,3.6247,1.97619,-13.7082,-18.4556,-3.9824
7,12.6467,-11.3651,-13.0502,3.169,-3.93659,-4.90474
8,2.07424,-1.48308,-1.8567,-14.8864,4.98258,4.73929
9,0.0594835,-0.144849,0.023795,-24.377,-41.4181,-9.82494
10,-0.305901,0.215401,-0.0710026,0.775806,-2.61059,2.91246
11,0.123878,-0.376009,-0.173227,25.436,-9.27726,3.56147
12,0.067681,-0.0206186,0.0569643,-7.0341,18.3231,3.98587
13,0.266776,0.242859,0.229381,-8.63632,-37.7825,-21.0796
14,0.07409,0.390885,-0.0346312,6.45787,13.0361,-7.9066
15,0.214328,-0.176458,0.0893737,32.0495,-73.0023,-59.5084
16,0.0104729,-0.232113,0.0430169,14.2332,78.5571,9.978
17,-0.191918,0.448303,-0.239747,-56.5177,50.2194,-1.60082
18,0.0109266,-0.295255,0.0759805,-47.4225,-16.9377,-2.13567
19,-0.0361294,0.276926,0.0754045,-5.44111,-3.6087,-20.3701
20,0.0859151,0.0755674,0.0374354,-7.87441,29.6625,9.13184
21,0.0375193,-0.064653,-0.075804,-19.0807,65.6937,33.3941
22,-0.227477,-0.711044,0.517087,-7.31488,48.7953,-48.5894
23,0.194671,0.0492654,-0.0826151,33.7499,16.1649,-8.22268
24,0.103808,-0.248045,-0.00505617,-2.49007,-56.9741,-9.17012
25,0.318265,-0.275191,-0.0906586,-0.703034,-9.18093,2.99287
26,-0.559514,-0.915568,-0.166543,8.16483,-2.10995,0.900912
27,-0.035232,-0.358217,0.338283,-13.2096,56.4079,-19.1413
28,0.013732,-0.181279,0.0710669,4.26101,17.5187,-2.52707
29,0.0936101,0.04501,0.0998645,27.7366,-43.8733,-1.82495
30,0.143603,0.0177055,-0.00544854,28.5368,59.8999,-12.4441
31,-0.0172688,0.198038,0.0644634,13.822,-25.4508,-2.75047
32,22.382,23.8467,22.8833,19.5789,19.6708,18.9734
