BodyID,X,Y,Z,VX,VY,VZ
0,0.114591,0.270781,0.0105297,-13.5256,-2.36743,6.2398
1,8.99636,-9.67959,-10.6874,7.00173,-9.19812,-10.433
2,0.0779534,0.169709,0.248943,31.4378,-25.2148,-2.75791
3,-0.675984,1.10309,0.305308,-4.2784,14.9377,0.81919
4,-0.20341,0.736065,0.735942,7.65406,-6.08469,-2.9881
5,9.09003,-9.41101,-10.9714,5.42914,-5.24943,-8.5233
6,-6.07546,7.16931,-3.17452,-0.97339,1.91602,-1.50341
7,8.83379,-8.72604,-9.85693,7.18928,-7.3974,-8.87646
8,0.419469,-0.303695,-0.354344,12.3561,-26.1895,-10.3073
9,0.134029,0.422539,0.166948,-9.14663,0.339729,1.36513
10,0.269085,0.160238,0.0342,17.551,-6.30967,-23.308
11,0.0604963,-0.0186232,0.254003,6.86138,-14.8409,10.3515
12,0.161933,0.256194,0.233665,-3.42809,5.59279,3.66329
13,0.0201643,0.133732,0.132425,-19.3623,-2.45787,-6.35813
14,0.157997,0.116794,0.145576,20.8436,-5.39792,5.23266
15,0.129107,0.479981,0.447439,1.12728,14.8156,12.0933
16,-0.234085,0.643898,0.294108,-18.5204,4.22102,2.51172
17,-0.165228,0.643618,0.182259,-7.73015,16.3439,17.2016
18,-0.11407,0.0770373,0.299376,-1.38483,-5.94046,-6.05982
19,0.269886,-0.0633457,-0.00805081,4.09854,3.30014,-7.51964
20,0.146616,0.380395,0.226463,-4.3815,0.407727,-0.28012
21,0.214145,0.0948329,0.0188071,6.69832,20.0031,-3.17226
22,0.366171,0.146397,0.344979,17.1834,-20.157,37.1071
23,0.0154899,0.298601,0.164262,-12.9216,6.98992,-13.6079
24,0.201315,-0.00664445,0.114576,4.47921,-15.7071,-10.3897
25,0.147766,0.348704,0.274129,24.4086,-16.2589,-1.50201
26,0.289513,0.302283,0.0638909,-13.4301,24.4378,6.05749
27,0.174448,0.280665,0.226957,-25.6182,14.2384,9.92587
28,-0.0340048,0.396455,0.2275,10.6565,-4.49575,4.35145
29,0.142045,0.0318933,0.263349,-4.66076,1.33589,-3.60752
30,0.290238,0.211974,0.385335,1.97186,-3.56536,1.66447
31,-0.0303362,0.442607,0.219751,-3.82293,9.17753,7.63207
32,5.56897,5.8057,4.70618,0.592507,0.559727,0.921534
33,-0.0618699,0.286075,0.250991,-20.71,-16.4977,-18.5016
34,-3.67947,-4.66346,-3.95915,2.23632,1.1439,-0.187266
35,0.0243602,0.195912,0.079144,-13.8023,-8.5575,-9.555
36,0.30457,-0.158324,-0.194963,-2.74866,8.38402,-1.73873
37,0.232032,0.495685,0.0363065,-11.1485,27.6674,-3.28166
38,0.206394,-0.640583,-0.396524,-0.210375,0.330036,-3.85307
39,0.0224846,0.263265,0.279999,2.31259,7.16758,0.0323482
40,-0.359554,1.09423,-0.430571,0.134764,4.97193,1.15038
41,0.17794,0.289165,0.104137,1.55247,-2.09467,-0.804651
42,0.429633,0.106269,0.305399,-14.9832,17.9944,-9.8552
43,-0.076295,0.300396,0.0749372,6.11393,11.1035,10.4271
44,-0.057433,0.407073,0.166261,21.5082,-33.5459,-6.52497
45,0.340944,-0.0872018,-0.0836433,-10.522,17.3634,0.158338
46,0.0897969,0.276109,0.178924,-5.05377,-3.10741,-2.09842
47,0.141635,0.0201306,0.193741,-0.0291407,4.94715,-2.94259
48,-0.191889,0.419523,0.469127,-16.3326,15.2459,-0.419226
49,0.0203021,0.70586,0.429071,-7.57285,19.1135,-4.68416
50,-0.408694,-1.88387,-1.80672,3.3429,11.7656,12.3345
51,0.148233,0.316779,0.194984,7.42025,-11.1303,-2.91551
52,-0.0753134,-0.0803776,0.157397,12.2585,0.743133,-10.6314
53,0.0499717,0.360391,0.254015,22.4302,-4.26238,10.7941
54,0.669357,0.082146,0.146899,-26.1304,7.69266,13.2044
55,0.47895,0.299995,-0.0959477,-18.8577,12.2755,14.0472
56,-0.0599658,0.286085,0.333,-10.1839,30.4399,11.8964
57,0.848161,-0.646315,0.977292,-5.1818,-2.81105,-2.86316
58,0.250974,0.328403,0.149954,0.00289146,-30.8689,11.6975
59,0.134113,0.0693574,0.215977,-5.43359,8.35607,-8.09774
60,0.111738,0.299521,0.223198,9.48233,-1.29459,1.96839
61,0.132147,0.115687,0.0710035,-1.79241,4.9768,12.6004
62,0.113764,0.229143,0.235934,3.64704,-29.5531,-18.5518
63,0.385963,0.643344,1.94374,5.62621,-1.3765,4.16052
64,0.236259,0.292434,0.292266,-15.6831,13.3461,-2.07542
65,0.081068,0.202511,0.118527,-1.63756,-5.73471,13.8723
66,-0.294747,0.977625,0.501063,11.0608,-15.9308,2.73666
67,0.0186843,0.483384,0.0993081,-12.2738,31.6226,6.63784
68,-0.595809,0.672603,0.213471,-0.50331,12.2984,-2.84974
69,0.423594,0.0924042,0.302746,7.23198,-5.26642,-1.34591
70,-7.21021,-7.76933,-8.44224,-4.65894,-5.68402,-5.77811
71,-3.0295,2.93303,3.69554,3.80033,-3.08998,-5.02246
72,0.0735251,0.283683,0.217692,-1.50438,-8.31089,-8.88698
73,0.48072,-0.274909,0.847324,8.42537,-5.98803,6.99522
74,-1.12847,0.570326,-0.948951,6.25035,-4.39554,6.5286
