BodyID,X,Y,Z,VX,VY,VZ
0,0.00503833,0.00957518,-0.169829,18.6623,15.3267,12.3619
1,19.9292,-19.4208,-20.181,17.7272,-15.8256,-16.6966
2,0.0577957,0.0544536,-0.132706,56.3928,-83.2026,-43.3859
3,-0.075978,-0.00709839,-0.0170136,-0.120552,-91.5584,10.02
4,0.204823,0.106223,-0.203488,21.1476,-71.1561,-29.9368
5,17.4323,-17.0121,-17.7625,15.1359,-10.279,-15.4047
6,2.9759,3.80536,1.60942,9.77857,13.3753,11.4307
7,9.24474,-7.91686,-9.24844,-1.92703,1.24236,0.63823
8,-1.34102,1.89738,-1.89629,14.6172,-14.7735,11.0875
9,0.00380081,-0.00640365,-0.0516199,22.317,33.9426,-9.91955
10,0.396247,0.312395,0.217152,39.0597,31.1057,28.008
11,-0.112378,0.624671,-0.0314228,13.7363,17.7141,5.26257
12,0.101976,-0.0157391,-0.0113686,-0.599825,6.6883,6.71481
13,0.218734,-0.0204598,0.0761629,-49.6221,46.0253,-3.54468
14,0.137865,-0.121437,0.120316,12.7244,-5.48358,9.41903
15,0.260951,-0.374635,-0.0262778,10.0819,-58.6849,44.597
16,0.131303,-0.125003,-0.00975536,-23.1446,43.341,0.906764
17,0.293106,-0.611567,0.317779,-14.4855,33.0547,-11.1425
18,0.157175,-0.00502028,0.110872,31.6775,-43.1633,-26.3916
19,0.104027,-0.229458,0.0188358,18.3796,-36.6902,10.9457
20,0.120851,0.082189,0.020737,-13.3634,-19.8764,25.8722
21,0.132498,-0.278804,0.0154254,-35.621,27.4472,-10.0151
22,-0.3549,0.862369,1.07242,-17.3104,9.88857,0.48806
23,0.0118878,0.111437,0.261551,-9.98661,-3.7766,12.1867
24,0.0619995,0.0838112,0.0355598,-3.2737,-69.0516,7.41582
25,0.0531525,0.592361,-0.227382,-16.7328,23.9519,-5.51599
26,0.339019,0.541861,0.278216,36.2958,17.4254,27.3512
27,0.116121,-0.397917,-0.499476,20.4783,-2.8476,12.6115
28,0.0884311,-0.0644019,0.0401786,4.1534,-28.9461,-6.9973
29,0.155523,0.437913,0.00217462,13.951,4.94922,15.653
30,0.0746864,-0.0897506,-0.159813,15.8511,-51.7091,8.69028
31,0.0629962,0.125213,0.0294101,-3.92246,37.6096,-0.69041
32,19.945,21.0979,20.976,24.3416,21.5628,18.8881
33,-0.282079,0.284681,-0.130612,1.33258,24.7582,-6.80706
