BodyID,X,Y,Z,VX,VY,VZ
0,-0.237609,0.131473,0.0598431,14.2502,5.56345,13.6905
1,10.4566,-12.2593,-13.2442,7.87411,-11.0823,-12.4422
2,0.374823,-0.219989,-0.397118,-1.5403,-7.70386,-11.2551
3,-0.801538,0.815343,0.57915,-6.31894,-1.47761,-6.02203
4,-0.00534431,0.388612,-0.288145,4.70762,0.898708,-20.2563
5,10.6327,-13.2554,-13.067,9.16514,-11.17,-11.2001
6,1.52077,-2.91557,-0.241813,-5.40095,8.50774,-1.52156
7,9.88483,-10.8436,-11.6603,8.53039,-8.82035,-10.1213
8,0.942907,-0.666854,-2.13,-5.84463,8.02444,3.99321
9,-0.178981,0.125315,0.124676,8.18306,-8.07617,-0.944871
10,-0.164362,0.0167155,0.36338,19.3283,10.442,-20.9786
11,-0.458877,0.393177,0.114594,8.95734,-10.9122,1.46598
12,-0.121802,0.216209,0.0808023,-0.62992,5.38419,-2.98638
13,-0.364756,0.0823771,0.235894,-4.01037,1.57513,19.6738
14,0.168744,0.0538398,0.131847,-4.0606,-4.36904,-5.14996
15,0.119988,0.202219,-0.200669,5.57857,-15.5581,8.88098
16,0.146214,0.0272181,-0.245633,7.34428,-14.038,-18.8749
17,0.287387,-0.674454,0.464451,2.63994,-5.92882,5.70221
18,-0.0744487,0.337412,0.0420299,-12.6806,-14.8572,0.655854
19,-0.22204,0.192921,0.203577,-11.5767,3.79086,12.8212
20,0.089372,0.200117,0.135792,6.21308,-1.46765,-7.02415
21,-0.349529,0.159718,0.15664,20.8551,-7.87897,-11.5646
22,0.67227,-1.04627,-0.308242,-8.07987,3.95155,-7.15675
23,-0.370057,0.203247,0.305468,-3.57666,3.86438,-6.70036
24,0.0865947,0.155387,-0.0423591,-1.79703,3.26444,7.60478
25,-0.0768798,0.229359,0.300252,1.77752,-8.05903,-17.7623
26,0.59409,0.162561,-0.0830475,2.3105,-0.716534,7.30066
27,0.254321,0.179649,0.130027,-8.29693,-1.09088,9.72412
28,0.115591,0.0980739,-0.0862639,-0.545217,-2.97572,9.48603
29,-0.0601446,0.273318,0.0785341,-23.2777,-4.37724,13.4306
30,-0.0317365,0.382724,0.0365776,6.52303,11.3219,-2.16785
31,-0.185094,0.269547,0.256724,-2.25914,-0.677992,1.5834
32,7.82375,7.35546,7.26417,3.67536,3.34705,3.46805
33,-0.184695,-0.0780166,0.263296,-1.75017,-3.63787,14.911
34,-0.870719,2.95913,3.1955,-5.0029,-0.776637,0.759682
35,-0.105173,0.207928,0.327891,-4.09045,-4.08013,18.2659
36,-0.618202,0.418758,0.638723,-16.4427,10.7735,9.22785
37,-0.50511,0.651296,0.541362,10.9662,6.0943,-2.59324
38,0.464601,-0.27141,-0.729826,3.17364,8.76769,-5.67595
39,-0.0409923,0.127229,0.0535604,10.4823,-14.7641,0.841643
40,0.362018,0.85699,-0.266272,3.8469,-2.62354,-4.1195
41,-0.109288,0.303711,0.187135,-2.35905,9.40005,0.0341176
42,-0.270495,0.322369,0.266866,26.0829,-32.1286,-5.45889
43,-0.152448,0.191964,0.426186,4.0516,-2.96918,-18.1696
44,0.010014,0.113903,0.0121791,-21.9114,26.3594,21.7631
45,-0.768967,0.610356,0.704615,-9.13215,-2.71865,-0.344792
46,-0.0963767,0.16966,0.058909,0.981319,-1.55522,0.389643
47,0.190027,0.107245,-0.0964381,-0.317148,4.00443,-11.543
48,-0.128509,0.0318836,0.0752772,2.75716,-21.7635,-22.5751
49,0.16686,0.164744,-0.539746,1.26479,-9.13324,10.4028
50,-2.86236,2.71095,2.62094,-7.81017,1.93903,3.25493
51,-0.0427824,0.175158,0.145923,-1.5977,-0.0894183,5.56678
52,0.0769506,0.373853,0.322108,-12.7315,-6.14986,16.3649
53,-0.0131098,0.307603,-0.203393,7.6721,-7.24609,-2.42279
54,-0.70381,0.957493,0.507205,5.91968,3.95959,10.1442
55,0.777533,0.750493,-0.00484192,-5.55741,-0.834801,5.95143
56,0.137519,0.0340851,-0.0624481,16.3428,-20.6124,5.87663
