BodyID,X,Y,Z,VX,VY,VZ
0,0.111397,0.294052,-0.0721708,-24.4548,5.33086,-0.0711063
1,16.7631,-17.3857,-17.8414,15.4095,-13.8641,-14.5681
2,-0.00939511,-0.103722,-0.000823334,-34.1409,-80.065,18.7318
3,-0.151729,-0.561401,-0.0319485,-9.66924,-39.4343,-8.30889
4,0.0668343,-0.428516,-0.0835503,2.91211,39.3471,-21.7869
5,15.6674,-15.8312,-16.7119,15.3437,-10.6791,-15.9142
6,1.83951,4.22187,1.1812,2.541,8.27422,7.67331
7,11.3841,-10.4844,-11.7907,4.34324,-4.50553,-5.82789
8,-0.927157,2.44077,-1.80292,0.123719,3.19011,-5.62865
9,-0.0399925,-0.12121,0.0593816,-8.16812,-19.0296,-5.44006
10,0.211074,-0.08987,-0.211275,16.5111,-51.2516,2.61442
11,0.0536961,-0.18994,0.131916,-31.166,50.5267,2.51956
12,0.0699005,0.052622,-0.00764889,2.72729,7.42323,12.3972
13,-0.00506614,0.145618,0.191838,28.9497,-3.65177,51.6456
14,-0.00729222,-0.0629609,0.00487984,-15.0888,-52.1001,19.2737
15,0.0420758,0.390161,0.393489,-15.347,14.9167,35.2005
16,-0.0952694,0.549936,-0.0240189,4.73556,-16.8544,-4.02295
17,-0.0887177,-0.560454,0.634522,-3.1547,4.51444,5.31957
18,0.208076,0.0473178,0.175619,-21.9176,26.6709,21.6652
19,0.0714636,-0.275635,-0.036059,12.4959,21.2122,9.33158
20,0.0212956,0.0194561,-8.03039e-06,-24.908,16.4894,10.82
21,0.129737,0.276615,0.0920509,29.4293,44.0264,18.8854
22,-0.265652,0.931173,0.756377,-5.30185,23.1991,38.0858
23,0.0277448,0.0418208,-0.252933,-5.61879,-7.37975,-1.05861
24,0.0868031,0.241431,0.0208567,-2.40669,53.064,9.9613
25,-0.0463582,0.217219,0.0340651,20.7673,-45.5153,-11.524
26,-0.0158747,0.404194,-0.490987,7.80922,33.2154,-38.8357
27,0.137757,-0.0999468,-0.0342422,-34.7661,-55.0569,-37.8522
28,0.112375,-0.134187,-0.0167824,-0.541852,-18.1576,-6.46767
29,0.0755309,-0.209331,0.101991,-15.677,-24.1806,4.85303
30,0.0876725,-0.0633914,-0.148294,7.29128,-31.8552,-45.4832
31,0.0601765,0.26733,0.0413169,-2.20443,-21.8402,-5.88082
32,14.934,16.0185,16.2375,10.2814,11.471,13.588
33,-0.020359,-0.0940331,0.381671,-19.6096,-4.06373,-6.00929
34,-1.5424,-0.947491,0.0051035,-37.7314,-22.0232,-13.675
35,-0.0450129,0.094808,-0.0864057,10.391,8.86504,19.3427
36,0.0167353,0.424631,-0.14532,11.716,-15.8034,39.5311
37,0.119987,0.381172,0.248559,-9.18787,-37.3656,-2.1924
38,0.257083,-0.106046,0.286846,10.5429,83.1263,-21.1074
39,0.0939697,0.15029,-0.0776514,-10.4377,20.9858,6.12447
40,-0.00313585,0.664781,0.155216,5.47143,25.7115,40.6388
41,0.114402,0.118306,-0.0258384,7.26211,13.4505,-16.4484
42,0.151767,0.16422,-0.0611571,2.92491,-72.5199,-35.0838
43,-0.0157807,-0.0418314,-0.0892405,27.8918,-14.1984,23.3972
44,0.398394,-0.81039,-0.174621,-9.05416,24.5336,5.30886
45,0.164295,-0.406105,-0.00532112,-13.1271,37.5477,-9.49014
46,0.100119,0.0837178,0.0138263,-1.79568,-1.35555,0.0298412
47,0.0299892,-0.159812,0.0485669,12.8603,28.9181,-12.9249
48,-0.0204452,0.343746,0.0965053,-35.3897,-30.5247,-24.6188
49,0.120602,-0.312858,-0.217715,9.24837,-59.4479,11.1611
50,0.534603,-0.118656,0.00334376,87.6387,-48.5818,-12.1998
51,0.116361,-0.0532485,0.0675166,5.40141,1.82147,0.319404
52,0.166936,0.642279,-0.120204,30.4124,-4.54598,11.214
53,0.142516,0.0509759,-0.0370362,19.0533,-34.2002,-51.3656
54,0.000316494,0.311254,0.321613,-26.2073,43.9531,47.7836
55,0.192019,-0.552718,0.752769,-11.1219,7.33009,-10.6912
56,0.0910232,0.171755,-0.018948,11.5705,-66.3573,-42.4526
57,-0.988141,-1.17888,0.487676,-12.5297,-16.6031,-0.675189
58,0.112229,0.932679,0.260115,13.762,-1.91062,-5.28793
59,0.158821,0.37552,0.0245314,0.163099,-19.7394,13.7498
60,0.0400624,0.125266,-0.031899,-9.70278,-8.23632,-4.28046
61,0.104275,0.00820663,-0.127145,12.9227,-41.6604,-19.7514
62,-0.0355696,0.171787,0.0853154,49.0706,-53.8928,-23.781
63,0.67069,-0.605322,0.318369,23.1887,-44.2906,15.6221
64,0.101793,0.0304332,-0.0384154,-16.2931,43.5343,-11.4692
65,0.0595235,0.124899,0.181411,16.3772,7.6318,-11.1933
66,0.638828,-0.938365,-0.446623,-5.27444,10.2235,9.07463
67,-0.0187409,-0.694548,-0.0449878,6.87881,-20.8712,-10.5893
68,0.149101,-0.117076,-0.315298,8.75262,18.1486,69.587
69,0.185148,-0.138944,-0.0269363,12.3668,-14.2519,-17.8347
70,1.4,-2.74924,0.595637,16.8224,-30.331,14.6814
71,-0.634925,-2.81222,-6.33171,-2.75373,-2.32496,-3.35599
72,0.143393,0.144237,0.107518,7.94362,-12.3097,7.4168
73,0.170562,-0.591379,-0.529176,2.91616,-13.6049,-4.0084
74,0.273564,0.116293,0.1163,53.8744,85.0768,33.7401
75,0.164594,0.67354,0.45432,1.7845,-37.684,-5.41535
76,0.0559577,0.0934635,0.0342879,15.1762,-12.3883,8.59382
77,12.8644,13.8655,-13.2284,8.46704,9.4189,-7.34307
78,0.0251337,0.586872,0.0657043,25.1537,0.22977,-1.84095
79,-1.17556,1.16817,-0.284903,9.83829,-1.02999,1.86658
80,0.220712,0.443685,-0.24853,-2.49582,11.845,2.54986
81,0.966913,1.33941,0.627558,-5.21134,-39.0937,-25.6623
82,-0.228543,-0.336191,-0.244791,18.1049,21.4318,18.6157
83,0.187007,-2.017,-0.735934,-0.800557,-33.0467,-4.7149
84,0.157988,-0.0845296,-0.0866323,-31.2378,30.6957,-16.8075
85,0.137585,0.195692,-0.337183,-26.1675,-34.7891,54.0031
86,0.0192491,0.156439,0.095093,-3.51465,-13.1636,15.6629
87,0.0108085,-0.625836,-0.094066,-5.97219,-24.9541,-35.528
88,0.0585732,0.552969,0.08616,17.9588,-54.1357,15.0325
89,-0.226294,0.402651,0.284957,6.06939,-41.9327,-2.93001
90,0.0925176,0.0975068,-0.0489616,18.8687,-3.54476,-33.8028
91,5.59451e-05,-0.0859135,0.0183652,12.4778,-14.6831,11.361
92,0.0363858,0.0598796,-0.0571238,-8.01269,-15.0536,-23.4544
93,0.00243393,0.573299,0.20121,-4.98649,-5.46001,-0.717668
94,-18.1814,-20.137,-19.4633,-15.997,-22.0856,-14.5634
95,0.0413631,-0.678744,0.073561,-10.9085,40.3115,17.1985
96,3.03047,0.821883,4.30378,-2.36995,4.67994,1.11134
97,-0.105159,0.191148,0.135127,-20.9872,-57.401,28.8067
98,-0.796586,-1.90448,0.798599,3.72979,-0.139291,-0.337695
99,0.0589039,0.0999794,0.0411821,-5.46688,-15.5625,-16.5909
100,-0.0779547,0.808861,0.420273,19.204,-18.6694,-7.88137
101,0.0128421,-0.110058,0.166505,-12.1033,1.42783,6.02101
102,0.0533438,0.15934,-0.0575615,5.98061,-7.62979,3.16428
103,0.194415,-0.143871,-0.0595005,-7.92153,27.9078,21.6617
104,0.0323634,0.127066,-0.0282245,30.6501,0.609614,1.41013
105,-0.834904,7.81718,-1.32273,-0.689411,2.34239,3.01311
106,0.360764,-0.355397,0.356036,3.34506,-5.9106,42.4455
107,0.0822696,0.161335,0.170332,14.2535,24.2376,-5.33182
108,-0.113544,-1.05385,0.750501,8.81726,6.28122,-1.37512
109,0.0922126,0.024956,0.128115,18.2584,10.3221,-17.3435
110,0.358594,0.596314,0.212347,0.955462,10.0252,9.77469
111,-0.29911,0.781635,-0.259662,-26.7036,68.722,-6.18115
112,-0.189637,-1.12424,0.0321051,-26.3666,-22.3758,-7.01878
113,-9.14079,10.3546,11.3384,-2.03471,2.77829,3.5248
114,-18.0957,-19.7424,-19.3113,-21.4007,-22.3243,-16.619
115,0.151177,0.140205,-0.230681,-14.6951,15.2315,-20.7263
116,0.126648,0.588175,-0.125722,-20.7151,16.9932,-6.00084
117,-21.8096,-20.2819,20.8001,-15.8928,-18.5509,15.0934
118,0.180169,0.417599,0.205175,11.9189,-5.53183,-1.27601
119,0.149563,-0.0161532,-0.0830042,-0.370334,12.3509,-91.9771
120,0.0549892,0.0199957,0.0671058,-28.3764,-2.89853,-35.3036
121,0.500134,0.69588,-0.293256,23.4326,36.0627,-33.7569
122,-0.0261518,0.117437,0.124177,-32.3647,13.9613,13.9692
123,0.0954928,0.167343,-0.138848,-3.54106,22.3746,-23.3493
124,0.0923136,0.157503,-0.0649916,-8.45269,-3.19348,0.377105
125,-17.1115,18.3584,-16.6193,-13.3171,14.0474,-13.8707
126,0.0400372,0.3729,-0.102122,0.303757,79.9003,-18.6612
127,0.613327,-0.81588,0.765325,-9.62931,-1.0617,-0.597579
128,0.0887422,0.460253,-0.0724568,15.4533,-11.1187,-10.5921
129,-17.3023,18.6374,-16.6278,-12.0377,10.2542,-10.2336
130,-0.361844,1.81039,-0.873719,4.36892,4.15233,4.87445
131,0.633345,-3.13689,-0.571487,6.76385,-16.1588,6.66937
132,0.0833203,-0.00385385,0.0829988,-5.50122,1.81027,17.8465
133,-2.99247,-3.22042,-3.33739,13.1006,16.8147,15.4877
134,-0.16001,-0.653607,-0.184796,-8.80744,-5.18448,23.2078
135,0.0520915,-0.145745,-0.0970156,-13.1428,20.5151,-5.32553
136,0.10921,-0.183233,-0.0309679,2.84494,26.1941,-7.79772
137,-0.100951,-0.45002,0.108724,5.85078,48.8346,3.8437
138,0.116074,-0.0395576,0.0243211,-1.4581,20.8345,-0.792621
139,0.145691,-0.194383,0.0794351,-17.4873,5.22558,14.2733
140,0.112021,0.113679,-0.0346046,-3.56472,-6.01923,-12.1773
141,-0.0786519,0.296442,0.295382,-27.6964,12.9143,23.8119
142,0.0196432,0.0560274,-0.0606191,-2.68052,-19.441,-0.307765
143,0.037356,0.103384,0.00225316,-3.2851,-1.99489,-2.38046
144,-0.0416568,1.18309,-0.080573,14.1883,0.255286,8.11179
145,-0.18927,-0.482123,-0.0705872,12.8862,29.21,15.8525
146,0.114899,0.193269,0.132633,-13.4797,41.4262,-18.5109
147,-1.1599,-1.24183,0.230535,29.7174,14.4084,1.97449
148,0.081324,1.2676,0.413887,7.25306,18.0501,-14.6826
149,0.206482,-0.206502,-0.0787813,-8.8975,-73.0708,-13.5092
150,0.038303,0.0163587,0.0137598,12.7872,-23.1532,-38.9903
151,0.0619212,0.102423,0.355972,-9.1932,4.60829,-54.9336
152,1.62377,3.45587,1.57709,-17.8169,-25.3515,-18.659
153,-0.0427414,-0.109741,0.171197,-47.5234,-81.6153,26.122
154,0.0212351,0.598329,0.0852354,3.45543,-2.67071,5.09996
155,0.0873516,0.0532649,0.217207,13.8116,-0.601042,10.3669
156,16.8981,18.0712,-17.4341,11.8972,14.1727,-11.8753
157,0.244077,0.486618,-0.108994,6.61509,21.4879,3.98161
158,-0.0420643,-0.201339,-0.126822,12.5209,24.7934,17.0781
159,0.00552016,-0.258377,-0.0974822,6.65747,-57.0729,-6.57721
160,0.216229,1.43887,-0.313942,1.7969,-7.84028,2.34924
161,0.163515,0.367475,0.0947523,-1.69536,-17.3574,-9.96936
162,-0.0120039,0.0247002,-0.117583,-11.5402,8.25261,-72.6277
163,-1.66644,-1.14669,-1.86568,-13.457,-11.2582,-7.57604
164,-0.111314,1.07951,-0.347877,7.88999,-17.3675,-13.1876
165,0.039531,-0.157546,-0.0466024,4.52569,14.1447,-7.15531
166,0.0356782,-0.0132054,0.0994204,-27.3305,-57.7818,4.01447
167,0.00866815,-0.133621,-0.263975,-17.5107,62.5687,-18.3504
168,-0.0240511,0.0984671,0.0261557,20.9571,6.0487,2.46502
169,0.0340938,0.369588,0.00463785,-7.76521,26.4958,-67.2112
170,-18.3266,-20.0889,-19.4693,-9.1513,-16.7678,-13.4538
171,-2.55894,-1.11708,0.879843,32.4069,21.0948,-21.5123
172,0.228889,-0.144124,-0.439375,-4.33025,-15.2271,21.5865
173,0.331182,-0.4619,-0.503641,23.7838,-53.5462,-25.8891
174,0.034107,-0.00452115,0.00740893,-7.02518,3.9058,-30.4482
175,0.496862,0.296548,-0.0366725,3.18056,-10.9108,6.85733
176,0.104818,-1.02673,-0.538154,-9.95138,45.5048,32.4488
177,0.115644,-0.0451055,0.00920114,7.60402,10.9756,23.0546
178,0.381636,0.697982,0.60313,17.3639,-11.5497,3.56778
179,-0.0884403,0.0570303,-0.146858,2.81102,6.46849,1.40016
180,0.13024,0.234108,0.0318843,-3.84713,-26.8159,29.4479
181,-0.0959317,0.812904,0.164088,6.40856,25.8159,-3.0738
182,0.793718,-1.43753,-0.358029,-8.22084,45.7273,2.58285
183,0.0952666,0.0538962,-0.189011,6.27864,44.8585,9.79112
184,0.1287,0.049349,0.0153662,-5.68991,32.7311,4.86822
185,2.006,3.53727,-1.49946,11.2943,15.1724,-10.425
186,-0.0352075,-0.547573,0.323493,0.121136,13.7809,13.6495
187,0.685114,-0.231171,-0.379183,7.10889,-0.548801,7.19824
188,0.0911675,0.144416,0.0797873,-3.52551,19.2252,4.30663
189,0.085766,0.0967871,0.0162657,3.99684,4.95863,-9.35893
190,-0.284538,0.947985,0.837935,1.11198,20.9048,21.9848
191,0.0575055,0.410139,-0.0317628,-24.5402,-68.9841,2.69603
192,0.0053065,-0.0727433,0.0633389,1.33256,12.9455,-9.97037
193,0.15645,0.669189,0.122165,-12.5227,-29.4025,24.6948
194,-0.114586,-0.439469,0.201304,-15.7855,43.1544,13.7372
195,17.4397,-18.7866,17.5599,12.9814,-15.0957,12.3202
196,0.89595,1.51196,1.80376,-6.39695,2.76167,-0.636969
197,0.181232,-0.00550511,0.00131556,-11.9108,84.8633,0.918482
198,0.061266,0.371711,0.102955,-12.9338,11.1346,15.1445
199,0.90935,-0.0125266,-0.326963,-5.91408,-2.93184,2.08945
200,-0.135788,0.685043,-0.279465,-8.095,16.996,-35.5019
201,0.0785326,0.0515115,0.0363145,7.29948,-3.69574,6.57295
202,0.037833,0.0621203,-0.0191627,-18.5498,-0.44618,15.7386
203,0.499577,1.39758,0.535158,-13.0674,-19.3974,-22.0435
204,0.211436,-0.948799,-0.158839,-8.41414,28.9361,-13.0594
205,0.117249,0.181656,0.170782,-5.3546,58.5439,-57.7833
206,-1.24363,1.28345,-1.05243,-15.5195,15.1169,-6.26255
207,0.0571598,-0.0459823,0.020343,-20.0272,-2.41793,-2.4222
208,0.118015,-0.0264553,-0.0577023,-8.31057,1.08554,7.32053
209,0.105577,0.12861,-0.0994289,-17.8468,-5.1757,10.9132
210,0.160153,0.0163784,-0.0698022,-4.43481,-32.3339,17.5299
211,0.0103327,0.304819,0.201046,-12.3686,23.0614,27.4309
212,-0.060177,-0.192341,0.105569,-18.5486,-43.9469,0.380729
213,0.0554417,0.0189664,0.102925,-4.89904,6.77413,16.0025
214,-16.7724,-3.82046,16.7628,-10.0709,-2.73649,9.99047
215,0.263429,0.436188,0.172318,-4.32453,36.6972,23.1931
216,0.0431921,0.0324996,-0.093701,12.5893,-0.218061,22.4756
217,0.0969053,0.542682,-0.324591,12.4323,46.7996,1.09558
218,1.3137,-4.82874,-0.534473,3.72786,-0.32816,-6.83641
219,0.429147,0.832097,-1.95601,5.2311,-14.7932,16.4937
220,0.0858325,-0.651634,-0.0347239,-10.0732,-29.307,-8.6694
221,-0.320753,-1.36912,0.0665857,10.7581,47.074,-22.5888
222,0.133589,0.305681,0.0658206,18.0327,1.70631,15.3351
223,0.0314678,-0.213966,-0.223626,-0.598349,45.7343,-26.7037
224,0.153685,0.12287,0.0379028,6.43262,-14.1073,-15.7665
225,0.299915,-0.136662,0.0262606,-19.8564,37.3121,18.5051
226,0.300195,0.453384,-0.259399,-40.3898,-17.7355,26.2213
227,0.0279582,0.0602458,0.0691931,14.7889,-43.3755,13.7482
228,0.291388,0.312696,0.194755,-68.3758,-16.7915,-63.9962
229,0.175558,0.0695173,0.0517843,18.7645,8.58505,44.1875
230,0.0832403,0.130578,-0.0229772,-0.359378,27.3124,-23.0852
231,0.257505,-0.0745266,-0.225154,-8.2037,36.7274,23.7169
232,-0.0541619,0.0642889,0.0209647,-6.02581,1.46014,12.7521
233,0.0341693,0.110366,-0.0198201,16.7027,6.18315,-16.7504
234,-21.9022,-20.1737,21.0421,-20.2192,-18.9287,16.3303
235,0.0260269,-0.38194,0.363248,9.04427,45.6017,-15.0244
236,0.0641891,0.156166,0.0740174,-13.8232,4.406,-16.1375
237,-0.080341,0.0337852,0.293617,-4.44727,-5.48526,-4.11334
238,0.0967885,0.0128172,0.0168443,9.2629,-13.5456,5.28796
239,0.013271,-0.135427,0.146826,-14.4133,32.3455,9.55466
240,0.064507,0.164031,0.0929424,-17.0077,-2.28724,-1.61746
241,0.0279503,0.893201,0.0104029,-6.90204,26.6429,26.5835
